連番,氏名,氏名（カタカナ）,性別,電話番号,携帯電話,郵便番号,住所,,,,,生年月日,血液型
1,橋口 建司,ハシグチ ケンジ,男,0760654131,,927-0035,石川県,鳳珠郡穴水町,志ケ浦,3-9,,1963/11/23,O
2,長沢 利佳,ナガサワ リカ,女,0470167458,09059143971,289-1523,千葉県,山武市,松尾町五反田,3-4,,1962/03/01,B
3,北沢 久典,キタザワ ヒサノリ,男,0547194798,08078303289,421-3106,静岡県,静岡市清水区,由比西山寺,2-18-10,,1987/05/16,A
4,中川 尚子,ナカガワ ナオコ,女,0961960475,,866-0814,熊本県,八代市,東片町,2-15-12,,1962/04/21,A
5,関谷 翔平,セキヤ ショウヘイ,男,019213492,08077666714,024-0013,岩手県,北上市,藤沢,3-3-1,,1993/01/03,O
6,本間 広行,ホンマ ヒロユキ,男,0995461321,09097934440,893-0063,鹿児島県,鹿屋市,新栄町,1-14,リバーサイド新栄町303,1967/06/15,O
7,鎌田 琴葉,カマタ コトハ,女,0600086910,,584-0045,大阪府,富田林市,山中田町,4-11-6,,1939/05/27,A
8,奥 忠男,オク タダオ,男,0771587506,09042391124,604-8092,京都府,京都市中京区,姉大東町,1-9,ダイヤモンド姉大東町306,1990/01/31,B
9,飯田 繁夫,イイダ シゲオ,男,0745583231,08027111656,633-2166,奈良県,宇陀市,大宇陀区迫間,1-15-8,,1976/11/26,O
10,荒川 浩志,アラカワ コウジ,男,0585105988,08028053721,501-3845,岐阜県,関市,吾妻町,1-18-8,吾妻町ハウス112,1990/05/31,B
11,花田 美奈子,ハナダ ミナコ,女,0271875633,08018985391,379-0226,群馬県,安中市,松井田町行田,2-3-8,コンフォート松井田町行田306,1972/03/14,B
12,梅沢 重吉,ウメザワ ジュウキチ,男,0956237826,09046380049,857-0873,長崎県,佐世保市,宮崎町,2-19-12,宮崎町ダイヤモンド405,1966/10/30,O
13,落合 毅雄,オチアイ タケオ,男,0880165463,08023404375,787-0050,高知県,四万十市,渡川,1-9-2,グリーン渡川302,1948/03/21,A
14,浅田 光雄,アサダ ミツオ,男,0966946559,09094714773,869-0503,熊本県,宇城市,松橋町きらら,3-16-11,,1939/08/01,O
15,池田 佳奈子,イケダ カナコ,女,0473671495,09039087467,299-5215,千葉県,勝浦市,白井久保,4-8-2,,1962/05/06,A
16,白木 紗彩,シラキ サアヤ,女,0233173598,08050548643,990-1164,山形県,西村山郡大江町,本郷丙,2-17,,1961/08/31,O
17,富永 卓雄,トミナガ タクオ,男,0865138982,,700-0941,岡山県,岡山市北区,青江,1-19-12,,1938/06/04,AB
18,島津 伸也,シマヅ シンヤ,男,0776745396,09049772128,919-0745,福井県,あわら市,次郎丸,4-19-20,次郎丸コンフォート416,1970/01/14,A
19,我妻 佑奈,アガツマ ユウナ,女,0479779719,09014150133,300-4506,茨城県,筑西市,鍋山,1-7-20,,1979/09/29,O
20,楠 克巳,クスノキ カツミ,男,0747454741,09063519779,634-0106,奈良県,高市郡明日香村,小原,4-16-10,,1960/10/14,B
21,足立 来実,アダチ クルミ,女,056165692,09002981579,441-1424,愛知県,新城市,作手中河内,1-12,,1958/02/20,O
22,松崎 麻奈,マツザキ マナ,女,0237142447,09023516105,994-0075,山形県,天童市,蔵増,3-6,蔵増ヒル403,1970/12/23,O
